TOTIME         ,SWRDT          ,KPER      ,KSTP      ,KSWR      ,STAGE0000000001,STAGE0000000002,STAGE0000000003,STAGE0000000004,STAGE0000000005,STAGE0000000006,STAGE0000000007,STAGE0000000008,STAGE0000000009,STAGE0000000010,STAGE0000000011,STAGE0000000012,STAGE0000000013,STAGE0000000014,STAGE0000000015,STAGE0000000016,STAGE0000000017,STAGE0000000018,
  0.2700000E+05,  0.1800000E+04,         8,         1,         1,  0.3031192E+01,  0.3024201E+01,  0.3023688E+01,  0.3023368E+01,  0.3023171E+01,  0.3023094E+01,  0.3023068E+01,  0.3023064E+01,  0.3023692E+01,  0.3023324E+01,  0.3023128E+01,  0.3023074E+01,  0.3023064E+01,  0.3023063E+01,  0.2003760E+01,  0.2003752E+01,  0.2003750E+01,  0.2003750E+01,
  0.2880000E+05,  0.1800000E+04,         8,         2,         1,  0.3054072E+01,  0.3039804E+01,  0.3038734E+01,  0.3038060E+01,  0.3037636E+01,  0.3037463E+01,  0.3037402E+01,  0.3037390E+01,  0.3038742E+01,  0.3037965E+01,  0.3037540E+01,  0.3037415E+01,  0.3037390E+01,  0.3037387E+01,  0.2008110E+01,  0.2008078E+01,  0.2008068E+01,  0.2008066E+01,
  0.3060000E+05,  0.1800000E+04,         9,         1,         1,  0.3099380E+01,  0.3065734E+01,  0.3063093E+01,  0.3061416E+01,  0.3060345E+01,  0.3059894E+01,  0.3059726E+01,  0.3059690E+01,  0.3063114E+01,  0.3061177E+01,  0.3060094E+01,  0.3059762E+01,  0.3059690E+01,  0.3059678E+01,  0.2016514E+01,  0.2016382E+01,  0.2016341E+01,  0.2016331E+01,
  0.3240000E+05,  0.1800000E+04,         9,         2,         1,  0.3158281E+01,  0.3100607E+01,  0.3095814E+01,  0.3092715E+01,  0.3090670E+01,  0.3089769E+01,  0.3089407E+01,  0.3089318E+01,  0.3095851E+01,  0.3092259E+01,  0.3090168E+01,  0.3089482E+01,  0.3089318E+01,  0.3089285E+01,  0.2030968E+01,  0.2030531E+01,  0.2030388E+01,  0.2030347E+01,
  0.3420000E+05,  0.1800000E+04,        10,         1,         1,  0.3248586E+01,  0.3150607E+01,  0.3141771E+01,  0.3135960E+01,  0.3131998E+01,  0.3130169E+01,  0.3129383E+01,  0.3129167E+01,  0.3141837E+01,  0.3135072E+01,  0.3130966E+01,  0.3129533E+01,  0.3129167E+01,  0.3129080E+01,  0.2054372E+01,  0.2053097E+01,  0.2052647E+01,  0.2052503E+01,
  0.3600000E+05,  0.1800000E+04,        10,         2,         1,  0.3351087E+01,  0.3212921E+01,  0.3199376E+01,  0.3190187E+01,  0.3183651E+01,  0.3180469E+01,  0.3179011E+01,  0.3178558E+01,  0.3199478E+01,  0.3188730E+01,  0.3181854E+01,  0.3179282E+01,  0.3178558E+01,  0.3178360E+01,  0.2089618E+01,  0.2086408E+01,  0.2085188E+01,  0.2084747E+01,
  0.3780000E+05,  0.1800000E+04,        11,         1,         1,  0.3473063E+01,  0.3289811E+01,  0.3270329E+01,  0.3256681E+01,  0.3246535E+01,  0.3241331E+01,  0.3238801E+01,  0.3237927E+01,  0.3270475E+01,  0.3254385E+01,  0.3243530E+01,  0.3239248E+01,  0.3237925E+01,  0.3237520E+01,  0.2139444E+01,  0.2132408E+01,  0.2129515E+01,  0.2128350E+01,
  0.3960000E+05,  0.1800000E+04,        11,         2,         1,  0.3597377E+01,  0.3376208E+01,  0.3351034E+01,  0.3332775E+01,  0.3318539E+01,  0.3310892E+01,  0.3306907E+01,  0.3305387E+01,  0.3351224E+01,  0.3329547E+01,  0.3314088E+01,  0.3307581E+01,  0.3305383E+01,  0.3304641E+01,  0.2204959E+01,  0.2191514E+01,  0.2185511E+01,  0.2182870E+01,
  0.4140000E+05,  0.1800000E+04,        12,         1,         1,  0.3711217E+01,  0.3464168E+01,  0.3434853E+01,  0.3412949E+01,  0.3395106E+01,  0.3384938E+01,  0.3379253E+01,  0.3376878E+01,  0.3435067E+01,  0.3408784E+01,  0.3389114E+01,  0.3380166E+01,  0.3376869E+01,  0.3375655E+01,  0.2284929E+01,  0.2262542E+01,  0.2251713E+01,  0.2246519E+01,
  0.4320000E+05,  0.1800000E+04,        12,         2,         1,  0.3820088E+01,  0.3552712E+01,  0.3520157E+01,  0.3495198E+01,  0.3473889E+01,  0.3461062E+01,  0.3453427E+01,  0.3449984E+01,  0.3520390E+01,  0.3490231E+01,  0.3466299E+01,  0.3454608E+01,  0.3449968E+01,  0.3448151E+01,  0.2376188E+01,  0.2342887E+01,  0.2325595E+01,  0.2316575E+01,
  0.4500000E+05,  0.1800000E+04,        13,         1,         1,  0.3891917E+01,  0.3626420E+01,  0.3594023E+01,  0.3568528E+01,  0.3545589E+01,  0.3530947E+01,  0.3521655E+01,  0.3517163E+01,  0.3594247E+01,  0.3563144E+01,  0.3536812E+01,  0.3522983E+01,  0.3517138E+01,  0.3514687E+01,  0.2471009E+01,  0.2426781E+01,  0.2402127E+01,  0.2388224E+01,
  0.4680000E+05,  0.1800000E+04,        13,         2,         1,  0.3953628E+01,  0.3690797E+01,  0.3658776E+01,  0.3633124E+01,  0.3609082E+01,  0.3593019E+01,  0.3582339E+01,  0.3576858E+01,  0.3658990E+01,  0.3627419E+01,  0.3599337E+01,  0.3583798E+01,  0.3576823E+01,  0.3573744E+01,  0.2563030E+01,  0.2509102E+01,  0.2476856E+01,  0.2457410E+01,
