TOTIME         ,SWRDT          ,KPER      ,KSTP      ,KSWR      ,STAGE0000000001,STAGE0000000002,STAGE0000000003,STAGE0000000004,STAGE0000000005,STAGE0000000006,STAGE0000000007,STAGE0000000008,STAGE0000000009,STAGE0000000010,STAGE0000000011,STAGE0000000012,STAGE0000000013,STAGE0000000014,STAGE0000000015,STAGE0000000016,STAGE0000000017,STAGE0000000018,
  0.2700000E+05,  0.1800000E+04,         8,         1,         1,  0.3031188E+01,  0.3024196E+01,  0.3023684E+01,  0.3023363E+01,  0.3023167E+01,  0.3023089E+01,  0.3023063E+01,  0.3023059E+01,  0.3023688E+01,  0.3023319E+01,  0.3023124E+01,  0.3023069E+01,  0.3023059E+01,  0.3023058E+01,  0.2003761E+01,  0.2003753E+01,  0.2003751E+01,  0.2003751E+01,
  0.2880000E+05,  0.1800000E+04,         8,         2,         1,  0.3054068E+01,  0.3039800E+01,  0.3038730E+01,  0.3038055E+01,  0.3037632E+01,  0.3037459E+01,  0.3037398E+01,  0.3037386E+01,  0.3038738E+01,  0.3037961E+01,  0.3037536E+01,  0.3037411E+01,  0.3037386E+01,  0.3037383E+01,  0.2008110E+01,  0.2008078E+01,  0.2008068E+01,  0.2008066E+01,
  0.3060000E+05,  0.1800000E+04,         9,         1,         1,  0.3099376E+01,  0.3065730E+01,  0.3063090E+01,  0.3061412E+01,  0.3060341E+01,  0.3059890E+01,  0.3059722E+01,  0.3059686E+01,  0.3063110E+01,  0.3061173E+01,  0.3060090E+01,  0.3059758E+01,  0.3059686E+01,  0.3059674E+01,  0.2016514E+01,  0.2016382E+01,  0.2016341E+01,  0.2016331E+01,
  0.3240000E+05,  0.1800000E+04,         9,         2,         1,  0.3158279E+01,  0.3100605E+01,  0.3095812E+01,  0.3092713E+01,  0.3090668E+01,  0.3089767E+01,  0.3089405E+01,  0.3089316E+01,  0.3095849E+01,  0.3092257E+01,  0.3090165E+01,  0.3089480E+01,  0.3089316E+01,  0.3089283E+01,  0.2030968E+01,  0.2030532E+01,  0.2030388E+01,  0.2030347E+01,
  0.3420000E+05,  0.1800000E+04,        10,         1,         1,  0.3248584E+01,  0.3150605E+01,  0.3141769E+01,  0.3135958E+01,  0.3131996E+01,  0.3130167E+01,  0.3129381E+01,  0.3129166E+01,  0.3141835E+01,  0.3135071E+01,  0.3130964E+01,  0.3129531E+01,  0.3129166E+01,  0.3129079E+01,  0.2054372E+01,  0.2053096E+01,  0.2052647E+01,  0.2052503E+01,
  0.3600000E+05,  0.1800000E+04,        10,         2,         1,  0.3351086E+01,  0.3212919E+01,  0.3199375E+01,  0.3190185E+01,  0.3183649E+01,  0.3180468E+01,  0.3179009E+01,  0.3178556E+01,  0.3199477E+01,  0.3188729E+01,  0.3181852E+01,  0.3179281E+01,  0.3178556E+01,  0.3178358E+01,  0.2089617E+01,  0.2086407E+01,  0.2085187E+01,  0.2084746E+01,
  0.3780000E+05,  0.1800000E+04,        11,         1,         1,  0.3473062E+01,  0.3289810E+01,  0.3270328E+01,  0.3256679E+01,  0.3246534E+01,  0.3241330E+01,  0.3238800E+01,  0.3237926E+01,  0.3270474E+01,  0.3254384E+01,  0.3243529E+01,  0.3239247E+01,  0.3237924E+01,  0.3237519E+01,  0.2139442E+01,  0.2132406E+01,  0.2129512E+01,  0.2128347E+01,
  0.3960000E+05,  0.1800000E+04,        11,         2,         1,  0.3597374E+01,  0.3376206E+01,  0.3351033E+01,  0.3332773E+01,  0.3318538E+01,  0.3310892E+01,  0.3306906E+01,  0.3305386E+01,  0.3351222E+01,  0.3329546E+01,  0.3314087E+01,  0.3307581E+01,  0.3305382E+01,  0.3304640E+01,  0.2204960E+01,  0.2191514E+01,  0.2185510E+01,  0.2182869E+01,
  0.4140000E+05,  0.1800000E+04,        12,         1,         1,  0.3711214E+01,  0.3464167E+01,  0.3434851E+01,  0.3412948E+01,  0.3395105E+01,  0.3384936E+01,  0.3379252E+01,  0.3376877E+01,  0.3435065E+01,  0.3408782E+01,  0.3389112E+01,  0.3380164E+01,  0.3376868E+01,  0.3375653E+01,  0.2284932E+01,  0.2262544E+01,  0.2251715E+01,  0.2246521E+01,
  0.4320000E+05,  0.1800000E+04,        12,         2,         1,  0.3820086E+01,  0.3552708E+01,  0.3520152E+01,  0.3495193E+01,  0.3473885E+01,  0.3461057E+01,  0.3453423E+01,  0.3449980E+01,  0.3520385E+01,  0.3490226E+01,  0.3466295E+01,  0.3454604E+01,  0.3449964E+01,  0.3448146E+01,  0.2376184E+01,  0.2342884E+01,  0.2325593E+01,  0.2316572E+01,
