TOTIME         ,SWRDT          ,KPER      ,KSTP      ,KSWR      ,STAGE0000000001,STAGE0000000002,STAGE0000000003,STAGE0000000004,STAGE0000000005,STAGE0000000006,STAGE0000000007,STAGE0000000008,STAGE0000000009,STAGE0000000010,STAGE0000000011,STAGE0000000012,STAGE0000000013,STAGE0000000014,STAGE0000000015,STAGE0000000016,STAGE0000000017,STAGE0000000018,STAGE0000000019,
  0.1400000E+02,  0.6937981E-02,        14,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1129536E+01,  0.1129536E+01,  0.1129536E+01,  0.1129536E+01,  0.1129536E+01,  0.1129536E+01,  0.1129536E+01,  0.1129536E+01,  0.9419134E+00,  0.9419134E+00,  0.4934363E+00,  0.4934363E+00,  0.6964793E+00,
  0.1500000E+02,  0.6937981E-02,        15,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1122877E+01,  0.1122877E+01,  0.1122877E+01,  0.1122877E+01,  0.1122877E+01,  0.1122877E+01,  0.1122877E+01,  0.1122877E+01,  0.9377335E+00,  0.9377335E+00,  0.4923426E+00,  0.4923426E+00,  0.6947818E+00,
  0.1600000E+02,  0.6937981E-02,        16,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1116425E+01,  0.1116425E+01,  0.1116425E+01,  0.1116425E+01,  0.1116425E+01,  0.1116425E+01,  0.1116425E+01,  0.1116425E+01,  0.9335559E+00,  0.9335559E+00,  0.4912312E+00,  0.4912312E+00,  0.6929046E+00,
  0.1700001E+02,  0.6942749E-02,        17,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1110173E+01,  0.1110173E+01,  0.1110173E+01,  0.1110173E+01,  0.1110173E+01,  0.1110173E+01,  0.1110173E+01,  0.1110173E+01,  0.9293813E+00,  0.9293813E+00,  0.4903209E+00,  0.4903209E+00,  0.6908990E+00,
  0.1800000E+02,  0.6942749E-02,        18,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1104106E+01,  0.1104106E+01,  0.1104106E+01,  0.1104106E+01,  0.1104106E+01,  0.1104106E+01,  0.1104106E+01,  0.1104106E+01,  0.9252099E+00,  0.9252099E+00,  0.4892760E+00,  0.4892760E+00,  0.6888053E+00,
  0.1900000E+02,  0.6942749E-02,        19,         6,        24,  0.1560000E+01,  0.1560000E+01,  0.1560000E+01,  0.1560000E+01,  0.1560000E+01,  0.1560000E+01,  0.1255523E+01,  0.1255523E+01,  0.1255523E+01,  0.1255523E+01,  0.1255523E+01,  0.1255523E+01,  0.1255523E+01,  0.1255523E+01,  0.1036844E+01,  0.1036844E+01,  0.7011311E+00,  0.5419174E+00,  0.7130968E+00,
  0.1999999E+02,  0.6942749E-02,        20,         6,        24,  0.1548000E+01,  0.1548000E+01,  0.1548000E+01,  0.1548000E+01,  0.1548000E+01,  0.1548000E+01,  0.1247284E+01,  0.1247284E+01,  0.1247284E+01,  0.1247284E+01,  0.1247284E+01,  0.1247284E+01,  0.1247284E+01,  0.1247284E+01,  0.1014624E+01,  0.1014624E+01,  0.5599743E+00,  0.5184293E+00,  0.7004380E+00,
  0.2099999E+02,  0.6942749E-02,        21,         6,        24,  0.1541000E+01,  0.1541000E+01,  0.1541000E+01,  0.1541000E+01,  0.1541000E+01,  0.1541000E+01,  0.1211386E+01,  0.1211386E+01,  0.1211386E+01,  0.1211386E+01,  0.1211386E+01,  0.1211386E+01,  0.1211386E+01,  0.1211386E+01,  0.1011301E+01,  0.1011301E+01,  0.5311862E+00,  0.5128008E+00,  0.7004117E+00,
  0.2199999E+02,  0.6942749E-02,        22,         6,        24,  0.1538000E+01,  0.1538000E+01,  0.1538000E+01,  0.1538000E+01,  0.1538000E+01,  0.1538000E+01,  0.1246380E+01,  0.1246380E+01,  0.1246380E+01,  0.1246380E+01,  0.1246380E+01,  0.1246380E+01,  0.1246380E+01,  0.1246380E+01,  0.9989305E+00,  0.9989305E+00,  0.5007591E+00,  0.5007583E+00,  0.7003812E+00,
  0.2299998E+02,  0.6942749E-02,        23,         6,        24,  0.1537000E+01,  0.1537000E+01,  0.1537000E+01,  0.1537000E+01,  0.1537000E+01,  0.1537000E+01,  0.1207039E+01,  0.1207039E+01,  0.1207039E+01,  0.1207039E+01,  0.1207039E+01,  0.1207039E+01,  0.1207039E+01,  0.1207039E+01,  0.1001223E+01,  0.1001223E+01,  0.5017675E+00,  0.5017244E+00,  0.7003343E+00,
  0.2399998E+02,  0.6942749E-02,        24,         6,        24,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1206680E+01,  0.1206680E+01,  0.1206680E+01,  0.1206680E+01,  0.1206680E+01,  0.1206680E+01,  0.1206680E+01,  0.1206680E+01,  0.9968364E+00,  0.9968364E+00,  0.5004488E+00,  0.5004485E+00,  0.7002950E+00,
  0.2499998E+02,  0.6942749E-02,        25,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1196984E+01,  0.1196984E+01,  0.1196984E+01,  0.1196984E+01,  0.1196984E+01,  0.1196984E+01,  0.1196984E+01,  0.1196984E+01,  0.9926303E+00,  0.9926303E+00,  0.5003116E+00,  0.5003115E+00,  0.7002532E+00,
  0.2599997E+02,  0.6942749E-02,        26,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1187923E+01,  0.1187923E+01,  0.1187923E+01,  0.1187923E+01,  0.1187923E+01,  0.1187923E+01,  0.1187923E+01,  0.1187923E+01,  0.9884200E+00,  0.9884200E+00,  0.5002167E+00,  0.5002166E+00,  0.7002122E+00,
